英语,中文简体,中文繁体,日语,阿尔巴尼亚语,阿拉伯语,阿姆哈拉语,阿塞拜疆语,爱尔兰语,爱沙尼亚语,巴斯克语,白俄罗斯语,保加利亚语,冰岛语,波兰语,波斯尼亚语,波斯语,布尔语(南非荷兰语),丹麦语,德语,俄语,法语,菲律宾语,芬兰语,弗里西语,高棉语,格鲁吉亚语,古吉拉特语,哈萨克语,海地克里奥尔语,韩语,豪萨语,荷兰语,布尔吉斯语,加利西亚语,加泰罗尼亚语,捷克语,卡纳达语,科西塞语,克罗地亚语,库尔德语,拉丁语,拉脱维亚语,老挝语,立陶宛语,卢森堡语,罗马尼亚语,马尔加什语,马耳他语,马拉地语,马拉雅拉姆语,马来语,马其顿语,毛利语,蒙古语,孟加拉语,缅甸语,苗语,南非科萨语,南非祖鲁语,尼泊尔语,挪威语,旁遮普语,葡萄牙语,普什图语,齐切瓦语,瑞典语,萨摩亚语,塞尔维亚语,塞索托语,僧伽罗语,世界语,斯洛伐克语,斯洛文尼亚语,斯瓦希里语,苏格兰盖尔语,宿务语,索马里语,塔吉克语,泰卢固语,泰米尔语,泰语,土耳其语,威尔士语,乌尔都语,乌克兰语,乌兹别克语,西班牙语,希伯来语,希腊语,夏威夷语,信德语,匈牙利语,修纳语,亚美尼亚语,伊博语,意大利语,意第绪语,印地语,印尼異他语,印尼语,印尼爪哇语,约鲁巴语,越南语
lynx,猞猁,猞猁,Lynx,rrëqebull,الوشق حيوان,ሊኒክስ,lynx,lynx,ilves,katamotza,рысь,рис,Lynx,ryś,ris,سیاهگوش,lynx,Los,Luchs,рысь,Lynx,lynx,ilves,lynx,lynx,ფოცხვერი,લિન્ક્સ,сілеусін,lynx,스라소니,lynx,lynx,сүлөөсүн,linx,linx,rys,ಲಿಂಕ್ಸ್,linx,ris,lynx,agitare lyncas,lūši,lynx,lūšis,Lynx,râs,sakadia,linċi,लिंक्स,ലിങ്ക്സ്,lynx,рис,Tuhinga,lynx,Lynx,Lynx,lynx,lynx,lynx,lynx,gaupe,ਲੀਨਕਸ,lince,لینکس,lynx,lodjur,lynx,рис,lynx,රයිස්,linkso,rys,ris,ris,lynx,lynx,lynx,Линкс,లింక్స్,லின்க்ஸ்,แมวป่าชนิดหนึ่ง,vaşak,lynx,lynx,рись,lynx,lynx,לִינקס,λύγκας,lynx,لنڪس,hiúz,lynx,սինխի,lynx,lince,lynx,बनबिलाव,lynx,lynx,lynx,lynx,Linh miêu
lion,狮子,獅子,ライオン,luan,أسد,አንበሳ,aslan,leon,lõvi,lehoia,леў,лъв,ljón,Lew,lav,شیر نر,leeu,løve,Löwe,лев,Lion,leon,leijona,liuw,តោ,ლომი,સિંહ,арыстан,lyon,사자,zaki,leeuw,арстан,león,lleó,lev,ಸಿಂಹ,u lione,lav,şêr,leo,lauva,ຊ້າງ,liūtas,Léiw,leu,liona,iljun,सिंह,സിംഹം,singa,Лав,raiona,арслан,সিংহ,ခြင်္သေ့သည်,tsov ntxhuav,ngonyama,ingonyama,सिंह,løve,ਸ਼ੇਰ,leão,شیر,mkango,lejon,leona,лав,tau,සිංහයා,leono,lev,lev,lev,leòmhann,leon,libaax,шер,సింహం,சிங்கம்,สิงโต,aslan,llew,شیر,лев,sher,sher,אַריֵה,λιοντάρι,kini,شعر,oroszlán,shumba,առյուծը,ọdụm,Leone,לייב,शेर,singa jalu,singa,singa,kiniun,sư tử
lizard,蜥蜴,蜥蜴,トカゲ,hardhucë,سحلية,እንሽላሊት,kərtənkələ,laghairt,sisalik,musker,яшчарка,гущер,eðla,jaszczurka,gušter,مارمولک,Akkedis,firben,Eidechse,ящерица,lézard,butiki,lisko,lizard,សត្វលលាដ៍ក្បាល,ხვლიკი,ગરોળી,қылшық,zandolit,도마뱀,lizard,hagedis,кескелдирик,lagarto,llangardaix,ještěrka,ಹಲ್ಲಿ,lucertula,gušter,marmarok,lacerta,ķirzaka,lizard,driežas,Eideau,şopârlă,androngo,gremxula,सरडा,പല്ലി,cicak,гуштер,mokomoko,гүрвэл,টিকটিকি,အိမျမွှောငျ,nabqa,isilwanyana,i-lizard,छेउमा,øgle,ਕਿਰਲੀ,lagarto,چټکۍ,lizard,ödla,pili,гуштер,lizard,කටුස්සෝ,lacerto,jašterica,kuščar,kuščar,lairg,tabili,qorraxda,ландшафт,బల్లి,பல்லி,จิ้งจก,kertenkele,madfall,چھپکلی,ящірка,kertenkele,kertenkele,לְטָאָה,σαύρα,lizard,ڪبوتر,gyík,lizard,լիզարդ,akwa,lucertola,יאַשטשערקע,छिपकली,kadal,kadal,Kadal,lizard,con thằn lằn
lobster,龙虾,龍蝦,ロブスター,karavidhe,سرطان البحر,ሎብስተር,lobster,gliomach,homaari,otarrain,амар,омар,humar,Homar,jastog,خرچنگ,kreef,hummer,Hummer,Омар,Homard,lobster,hummeri,hobster,បង្កង,lobster,લોબસ્ટર,лобстер,woma,랍스터,lobster,kreeft,омар,lagosta,llagosta,humr,ನಳ್ಳಿ,aiguagine,jastog,kevcal,locustam marinam,omārs,lobster,omaras,Hummer,homar,langosta,awwista,लॉबस्टर,വലിയ ചെമ്മീൻ,lobster,јастог,paraka,хавч,গলদা চিংড়ি,ကျောက်ပုစွန်,tus cw,ilobster,isikhuphashe,लोब्स्टर,hummer,ਝੀਂਗਾ,lagosta,يوډول بحرى حيوان لكه چنګاښ,lobusitara,hummer,lobster,јастог,lobster,පොකිරිස්සා,omaro,homár,jastog,jastog,giomach,lobster,xayawaan,харчанги баҳрӣ,ఎండ్రకాయలు,இரால்,ลอบสเตอร์,Istakoz,cimwch,لابسٹر,омари,katta dengiz qisqichbagasi,katta dengiz qisqichbagasi,לובסטר,αστακός,lobster,قابليت,homár,lobster,օմար,oporo,aragosta,האָמאַר,झींगा मछली,udang ageung,lobster,lobster,ede nla,tôm
llama,骆驼,駱駝,ラマ,Llama,اللاما نوع من الجمال,ላማ,llama,llama,laama,llama,гуанако,лама,llama,lama,lama,لاما,llama,lama,Lama,гуанако,lama,llama,laama,llama,លីម៉ា,ვენა,લામા,llama,llama,야마,llama,lama,жылкыдай,llama,flama,lama,ಲಾಮ,llama,lama,llama,llama,lama,llama,lama,llama,lamă,llama,llama,लामा,തട്ടാ,llama,лама,llama,Ламма,Llama,llama,llama,llama,llama,लामा,llama,ਲਯਾ,lama,للمه,Llama,lama,llama,лама,llama,ලලාමා,flamo,lama,lama,lama,llama,llama,llama,латма,లామా,பொதி ஒட்டகம்,สัตว์สี่เท้าชนิดหนึ่ง,lama,llama,للما,лама,llama,llama,לָאמָה,είδος μικρής καμήλας,llama,لاکا,láma,llama,llama,llama,lama,לאַמאַ,लामा,llama,llama,llama,llama,llama
manatee,海牛,海牛,マナティー,Manatee,خروف البحر,manatee,manatee,manatee,manatee,manatee,ламанціны,морска крава,Manatee,krowa morska,manatee,manatee,manatee,søko,Seekuh,ламантин,lamantin,manatee,Manatee,manatee,manatee,მანატე,મેનેટી,манати,manatee,바다소,manatee,zeekoe,Манати,manatí,manatí,manatee,ಮ್ಯಾನೇಟೆ,manatee,morska krava,manatee,Insulae Canibalium,manatee,manatee,manatee,Manatee,manatee,lambondriaka,manatee,माणुसकी,മനാട്ടെ,manatee,manatee,manatee,manatee,Manatee,manatee,manatee,manatee,i-manatee,manatee,Manatee,ਮੈਨਤੀ,Manatee,مننه,manatee,manatee,manatee,манатее,manatee,මනාලිය,manata,manatee,Manatee,Manatee,manatee,manatee,manatee,manatee,MANATEE,manatee,สัตว์แมนะที,denizayısı,manatee,مینیٹ,манат,manat,manat,פרת ים,manatee,manatee,هوڏانهن,lamantin,manatee,մանատե,manatee,lamantino,מאַנאַטעע,मानाती,manatee,manatee,manatee,manatee,manatee
mantis shrimp,螳螂虾,螳螂蝦,カボチャエビ,mantis karkaleca,السرعوف الروبيان,ማንቲስ ሽሪምፕ,mantis karides,shrimp mantis,Manti krevetid,mantis ganbak,Багамолаў крэветкі,Мантис скариди,mantis rækju,krewetki Modliszka,mantis škampi,میگو آخوندک,mantis garnale,mantis rejer,Mantisgarnele,креветки богомола,crevettes mantis,mantis shrimp,mantis katkarapu,mantis shrimp,បង្គាចាន់,mantis shrimp,મેન્ટિસ ઝીંગા,мантис шаяндары,mantis kribich,사마귀 새우,mantis shrimp,mantis garnalen,Mantis майда чаян,gambas mantis,mantis camarón,mantis krevety,ಮಿಡತೆ ಸೀಗಡಿ,mantis shrimp,mantis škampi,mantis hrîp,squilla mantis,garneļu garneles,ກຸ້ງມະມ່ວງ,Mantis krevetės,Mantis Shrimp,mantis creveți,mantis shrimp,mantis gambli,मांटिस झिंगणे,മാന്തിീസ് ചെമ്മീൻ,udang mantis,мантис ракчиња,mantis huna,mantis сам хорхой,মিন্টিস চিংড়ি,mantis ပုစွန်,ntsuas cws,i-mantis shrimp,imfucu yama-mantis,म्यान्टिस चिन्ता,mantis reker,ਮੈੰਟੀਜ਼ ਸ਼ਿੰਗਰ,camarão mantis,د میتیس شربت,shrimp mantis,mantisräka,mantis moa,мантис шкампи,shrimp ea mantis,මඤ්ඤා ඉස්සන්,mantis salikoko,modlivka krevety,mantis kozic,mantis kozic,mantis criodag,mantis shrimp,shimbir mantis ah,абрешим мани,మింటిస్ రొయ్య,மான்டிஸ் இறால்,กั้ง,Mantis karidesi,berdys mantis,منٹیس کیکڑے,Мантис креветки,mantis qisqichbaqasi,mantis qisqichbaqasi,גמל שלמה,mantis γαρίδα,mantis huna,منٽن جي ڇڪ,sáskarák,mantis shrimp,mantis ծովախեցգետին,mantis oporo,gamberetti di mantide,mantis shrimp,एक प्रकार का कीड़ा झींगा,congcorang hurang,udang mantis,udang mantis,mantis ede,tôm càng xanh
meerkat,猫鼬,貓鼬,マイアカット,Meerkat,الميركات,ሜይራካ,meerkat,meerkat,meerkat,Meerkat,сурыкатак,сурикат,meerkat,Surykatka,meerkat,meerkat,meerkat,meerkat,Erdmännchen,сурикат,suricate,meerkat,meerkat,meerkat,meerkat,მემკ,મેરેકટ,мехеркат,meerkat,미어캣,meerkat,meerkat,сурикат,meerkat,meerkat,meerkat,ಮೀರ್ಕ್ಯಾಟ್,surreau,Merkat,meerkat,Meerkat,meerkat,meerkat,Meerkat,meerkat,meerkat,meerkat,meerkat,मेरकेट,മീർകാട്ട്,meerkat,meerkat,meerkat,meerkat,meerkat,meerkat,meerkat,meerkat,meerkat,meerkat,surikat,ਮੇਰਕੈਟ,Meerkat,مایرټات,meerkat,meerkat,Meerkat,мееркат,meerkat,මර්කට්,meerkat,šelmy,meerkat,meerkat,meerkat,meerkat,meerkat,Meerkat,meerkat,மிஷன் meerkats,แคต,mirket,meerkat,میراکر,Меркат,meerkat,meerkat,מירקאט,meerkat,ʻo wau,ميٽرڪ,Meerkat,meerkat,Meerkat,meerkat,meerkat,מער,meerkat,meerkat,meerkat,meerkat,meerkat,meerkat
mink,貂,貂,ミンク,vizon,فرو المنك,እብጠት,mink,mionc,naaritsa,Bisoi,норка,норка,mink,norki,mink,سیب زمینی,mink,mink,Nerz,норка,vison,mink,minkki,mink,mink,წაულასი,મિંક,күлгін,mink,밍크,mink,nerts,норка,vison,visó,norek,ಮಿಂಕ್,viscuvili,kanadska kuna,mink,creditis,ūdele,mink,ąsotis,Niwwel,nurcă,mink,mink,मिंक,മിങ്ക്,mink,mink,mink,усны булга,অনেকটা বেঁজির মতো দেখতে যে জন্তু কিছু সময় জলে থাকে,mink,mink,mink,mink,मंक,mink,mink,mink,مکس,mink,mink,mink,минк,mink,මිනිහ,minko,norok,mink,mink,mionc,mink,mink,моб,మింక్,மிங்க்,ตัวมิงค,vizon,minc,منک,норка,mink,mink,חַרפָּן,βιζόν,mink,ميڪ,nyérc,mink,մկնիկը,mink,visone,מינק,मिंक,mink,cerpelai,mink,mink,chồn
mongoose,猫鼬,貓鼬,マングース,mangustë,النمس,ፍልፈስ,mongoose,mongoose,mongoose,Azkonarra,мангуста,мангуста,mongoose,mangusta,mongoose,مغول,mungo,desmerdyr,Mungo,мангуста,mangouste,mongoose,mungo,mongoose,mongoose,მანგოსო,મંગૂસ,mongoose,mongoose,몽구스,Mongoose,mangoest,мангуст,mangosta,mongoose,mongoose,ಮುಂಗುಸಿ,mangosteen,mungos,mongoose,ICHNEUMON,mongoze,mongoose,Mangoze,Mongoose,mangustă,mongoose,Mangus,मुंगुस,മോങ്കോസസ്,mongoose,мангуста,mongoose,mongoose,নকুল,mongoose,mongoose,mongoose,mongoose,mongoose,Mongoose,ਮੰਗੌਸ,mangusto,مونګو,mongofu,mungo,mongoose,монгоосе,mongoose,මුගටියන්,mongozo,mongoose,mongoose,mongoose,mongoose,mongoose,dulqaadka,Муфассал ...,ముంగిస,கீரிப் பிள்ளை,พังพอน,firavun faresi,mongoose,مونگ,мангуста,mongoose,mongoose,נְמִיָה,μαγκούστα,ʻo ka mongoose,mongoose,indiai menyét,mongoose,մոնոուզ,mongoose,mangusta,mongoose,नेवला,mongoose,luwak,mongoose,mongoose,cá hồi
monkey,猴,猴,モンキー,majmun,قرد,ጦጣ,meymun,moncaí,ahv,tximinoa,малпа,маймуна,API,małpa,majmun,میمون,aap,abe,Affe,обезьяна,singe,unggoy,apina,aap,ស្វា,მაიმუნი,વાનર,маймыл,makak,원숭이,biri,aap,маймыл,mono,mico,opice,ಮಂಕಿ,scimmia,majmun,meymûn,simia,mērkaķis,monkey,beždžionė,Affekot,maimuţă,gidro,xadina,बंदर,കുരങ്ങൻ,monyet,мајмун,te hari,сармагчин,বানর,မြောကျ,liab,isilwanyana,imonkey,बंदर,ape,ਬਾਂਦਰ,macaco,بیزو,monkey,apa,manuki,мајмун,monkey,වඳුරා,simio,opice,opica,opica,moncaidh,unggoy,dameer,маймун,కోతి,குரங்கு,ลิง,maymun,mwnci,بندر,мавпа,maymunga,maymunga,קוֹף,Πίθηκος,ka mō'ī,بندر,majom,monkey,կապիկ,enwe,scimmia,מאַלפּע,बंदर,kunyuk,monyet,kethèk,ọbọ,con khỉ
moose,驼鹿,駝鹿,ムース,dre brilopatë,الموظ غزال أمريكي ضخم,ሙስ,moose,moose,libu,Moose,амерыканскі лось,американски лос,elgur,Łoś,los,گوزن شمالی,eland,elg,Elch,лось,élan,hayop ng moose,hirvi,moose,សត្វលា,moose,ઉંદરો,бұғы,Moose,엘크,Moose,eland,америка бугусу,alce,alces,Los,ಮೂಸ್,moose,Los,pezkûvî,alces,alnis,moose,briedis,moose,Elan,moose,moose,मोझेस,മോസ്,moose,лоса,moose,хандгай,Moose,ဒရယ်ချိုပြားမျိုး,Moose,i-moose,i-moose,चिसो,elg,moose,alce,غوزه,ntchentche,älg,lefo,лос,moose,මූස්,aĝo,los,losa,losa,geòidh,moose,moose,moose,దుప్పి,கடமான்,ตัวมูซ,geyik,moose,moose,лося,mushuk,mushuk,מוּז,αμερικάνικη έλαφος,Moose,moose,jávorszarvas,mhuka,մոխրագույն,akwa,alce americano,moose,मूस,uncal,rusa,moose,Moose,con nai
narwhal,独角鲸,獨角鯨,ナルワル,balenë trupvogël e arktikut,المرقط,ዘንቢል,narwhal,narwhal,narwhal,Narwhal,нарваў,нарвал,Narwhal,jednorożec,narwhal,Narwhal,narwal,narhval,Narwal,нарвал,narval,narwhal,Narwhal,narwhal,narwhal,ნერვალი,નરહાલ,нарваль,narwhal,일각 고래,narwhal,narwal,Narwhal,narwhal,narwhal,narwhal,ನರ್ವಾಲ್,narwhal,narval,narwhal,narwhal,Narvāls,narwhal,Narwhal,narwhal,narval,narwhal,narwhal,नारहल,നർവാൽ,narwhal,narwhal,Tuhinga,narwhal,বৃহৎ তিমিবিশেষ,narwhal,narwhal,narwhal,i-narwhal,narwhal,narhval,ਨਰਵਾਹਲ,Narwhal,نرخ,narwhal,narval,tala,нарвхал,narwhal,නෝවාල්,rakonto,narvala,narwhal,narwhal,narwhal,narwhal,daraadeed,данд,నార్వాల్,Narwhal,ปลานาร์แว็ล,deniz gergedanı,narwhal,narwhal,нарвал,narwhal,narwhal,הנארוול,μονόκερως,ka narwhal,تنگ آهي,agyaras cethal,narwhal,narwhal,akụkọ,narvalo,narwhal,नाउल,narwhal,narwhal,narwhal,narwhal,narwhal
newt,蝾螈,蠑螈,ニュートン,triton,سمندل الماء حيوان,አዲስ,yeni,ainmhithe,Newt,uhandre,трытон,тритон,newt,traszka,newt,نیوت,Newt,salamander,Newt,тритон,triton,newt,vesilisko,newt,ថ្មី,newt,નવી,newt,newt,영원,newt,watersalamander,тритон,newt,nou,čolek,ಹೊಸತು,newt,vodenjak,newt,ignotus adedit Stellio,jauns,newt,Newt,newt,triton,Newt,newt,न्यूट,പുതിയത്,baru,newt,newt,шинэт,গোসাপ,Newt,newt,entsha,i-newt,newt,salamander,newt,newt,نوې,newt,newt,fou,невт,newt,නිව්ට්,Salamandro,mlok,newt,newt,dearc-luachrach,newt,cusub,навт,నీరుడుము,நியூட்,นิวท์,semender,newt,newt,новинка,yangi,yangi,טרִיטוֹן הַפָּסִים,σαλαμάνδρα,hou,نئون,tarajos gőte,newt,նորտ,ọhụrụ,tritone,newt,न्यूट,newt,kadal air,anyar,titunt,newt
ocelot,豹猫,豹貓,オセロット,Ocelot,الأ سلوت حيوان أمريكي,ዔጣጣ,ocelot,ocelot,ocelot,ocelot,Оцелот,оцелот,ocelot,ocelot,ocelot,Ocelot,Ocelot,ocelot,Ozelot,оцелот,ocelot,ocelot,oselotti,ocelot,ocelot,ocelot,ocelot,оселот,ocelot,오셀롯,ocelot,ocelot,ocelot,ocelot,ocelot,ocelot,ಓಲಿಕಾಟ್,ocelot,ocelot,ocelot,ocelot,ocelot,ocelot,Ocelot,Ocot,ocelot,ocelot,ocelot,ocelot,ocelot,ocelot,ocelot,Tuhinga o mua,ocelot,মধ্য আমেরিকার চিতাবাঘের মতো একজাতের বেড়াল,Ocelot,ocelot,ocelot,i-ocelot,ओस्लो,ocelot,ocelot,ocelot,ocelot,mphalapala,ozelot,ocelot,оцелот,marulelo,ඔසෙලොට්,ocelot,ocelot,ocelot,ocelot,ocelot,ocelot,ocelot,ocelot,ఓసెలాట్,Ocelot,แมวคล้ายเสือดาว,ocelot,ocelot,آلوٹ,оцелот,ocelot,ocelot,ocelot,αιλουροπάρδαλις,ole,ٻيڙي,párducmacska,ocelot,ocelot,ocelot,ocelot,אָקעלאָט,औसीलट,ocelot,ocelot,ocelot,ocelot,mắt mèo
octopus,章鱼,章魚,たこ,oktapod,أخطبوط,ኦፕሎፐስ,ahtapot,ochtapas,kaheksajalad,olagarro,васьміног,октопод,kolkrabba,ośmiornica,hobotnica,اختاپوس,seekat,blæksprutte,Tintenfisch,осьминог,poulpe,octopus,mustekala,inketfisk,តោខៀវ,octopus,ઓક્ટોપસ,сегізаяқ,poulp,문어,kifin teku mai kafa takwas,Octopus,сегиз бут,polbo,pop,chobotnice,ಆಕ್ಟೋಪಸ್,polpo,hobotnica,masîyê mirekebê,polypus,astoņkājis,octopus,aštuonkojai,Kraken,caracatiță,orita,Qarnita,आठ पायांचा सागरी प्राणी,നീരാളി,sotong,октопод,Tuhinga o mua,наймаалж,অক্টোপাস,ရေဘဝဲ,pos i hws,i-okthophasi,ingwane,ओक्टोपस,blekksprut,ਆਕਟੋਪਸ,polvo,اکتوپس,okutapasi,bläckfisk,taʻavale,хоботница,octophase,බූවල්ලා,polpo,Chobotnica,hobotnica,hobotnica,octopus,octopus,octopus,Ҳаштпо,ఆక్టోపస్,ஆக்டோபஸ்,ปลาหมึกยักษ์,ahtapot,octopws,آکٹپس,восьминіг,sakkizoyoq,sakkizoyoq,תמנון,χταπόδι,ʻO ka polio,آسٽوپوس,polip,octopus,ութոտնուկ,ọktopus,polpo,ספּרוט,ऑक्टोपस,gurita,gurita,gurita,ẹja ẹlẹsẹ mẹjọ,bạch tuộc
opossum,负鼠,負鼠,オポッサム,opossum,الأ بوسوم حيوان أمريكي,ኦፖሰም,opossum,opossum,opossum,opossum,апосум,опосум,opossum,opos,opossum,اپوسوم,opossum,opossum,Beutelratte,опоссум,opossum,opossum,opossumi,opossum,opossum,opossum,ઓપસમ,opossum,opozan,주머니쥐,opossum,buidelrat,опоссум,oposum,opossum,vačice,ಒಪೊಸಮ್,opossum,oposum,opossum,opossum,opossum,opossum,opossum,opossum,oposum,opossum,opossum,ओपसूम,ഒപോസ്സം,opossum,опосум,opossum,opossum,আমেরিকার একজাতীয় বৃক্ষবাসী স্তন্যপায়ী প্রাণী,opossum,kab xev,opossum,i-opossum,opossum,opossum,ਓਸੋਂਸਮ,gambá,اپوزوم,opossum,opossum,opossum,опоссум,opossum,ඔලොකොම්,opossum,vačica,opossum,opossum,s an Iar-,opossum,furan,паноҳгоҳ,జంతువు,மரங்களில் வாழும் ஒரு வகை அமெரிக்க சிறிய விலங்கினம்,สัตว์คล้ายหนู,opossum,opossum,اوپناسم,опусім,opossum,opossum,אופוסום,opossum,opossum,اوپيسي,oposszum,opossum,օփոսում,opossum,opossum,אָפּאָס,ओपस्सम,opossum,semacam tupai,opossum,opossum,loài chuồn chuồn
orangutan,猩猩,猩猩,オランウータン,orangutang,انسان الغابة,ኦራንጉተን,orangutan,orangután,orangutan,orangutan,арангутан,орангутан,orangútan,orangutan,orangutan,orangutan,oerangoetang,orangutang,Orang-Utan,орангутанг,orang-outan,orangutan,oranki,orangutan,ផ្លែអូងហ្គីតាន,ორანგუთტონი,ઓરંગુટન,орангутан,orangutan,오랑우탄,orangutan,orangoetan,орангутан,orangután,orangutan,orangutan,ಒರಾಂಗುಟನ್,orangutan,orangutan,orangutan,orangutan,orangutans,orangutan,orangutanas,Orang,urangutan,mamono,orangutan,ऑरांगटान,ഒറാൻകുട്ടൻ,orangutan,орангутан,orangutan,orangutan,ত্তরানগ্ুটাং,orangutan,orangutan,i-orangutan,i-orangutan,orangutan,Orangutang,ਔਰੰਗੁਟਾਨ,orangotango,اورنګوتان,orangutan,orangutang,orangutan,орангутан,orangutan,ඔරේන්ජුටා,orangutan,orangutan,orangutan,orangutan,orangutan,orangutan,orangutan,orangutan,ఒరంగుటాన్,உராங்குட்டான்,ลิงอุรังอุตัง,orangutan,orangutan,اورانگوتان,орангутан,orangutan,orangutan,אורנגאוטן,οραγγουτάγγος,orangutan,اورانگانو,orangután,orangutan,օրանգուտան,orangutan,orangutan,אָראַנגוטאַן,आरंगुटान,orang utan,orangutan,Orangutan,Orangutan,đười ươi
oryx,羚羊,羚羊,オオカミ,Oryx,مارية حيوان,ኦሮክስ,oriks,oryx,oryx,oryx,сернобык,орикс,oryx,oryx,oriks,oryx,gemsbok,oryx,Oryx,сернобык,oryx,oryx,keihäsantilooppi,oryx,អ័ររូស,ორექს,ઓરિક્સ,орикс,Oryx,오릭스,oryx,grote Afrikaanse antilope,"зубр,",orix,Oryx,oryx,ಓರಿಕ್ಸ್,oryx,oriks,oryx,oryx illaqueatus,orikss,oryx,oryx,Onyx,Oryx,Antilopa,oryx,ऑरिक्स,ഓറിക്സ്,oryx,oryx,oryx,oryx,আফ্রিকার একজাতীয় কৃষ্ণসার মৃগ,oryx,oryx,oryx,i-oryx,oryx,oryx,oryx,oryx,اویا,oryx,oryx,oryx,орикс,oryx,කෙසෙල්,oryx,Oryx,oriks,oriks,oryx,oryx,oryx,ордер,ఓరిక్ష్,", oryx",ฟาโรห์,Afrika antilopu,oryx,آبی,орикс,oriks,oriks,רְאֵם,oryx,ʻOno,اورائيڪس,nyársas antilop,oryx,կամիկ,oryx,orice,oryx,ओरिक्स,oryx,oryx,oryx,oryx,oryx
ostrich,鸵鸟,鴕鳥,ダチョウ,struc,نعامة,ሰጎን,dəvəquşu,ostrich,jaanalind,ostruka,страус,щраус,ostrich,struś,noj,شترمرغ,volstruis,struds,Strauß,страус,autruche,ostrich,strutsi,ostrich,សត្វអូស្វាល,სირაქლემას,શાહમૃગ,тетронь,otrich,타조,jimina,struisvogel,төө куш,avestruz,avestruz,pštros,ಆಸ್ಟ್ರಿಚ್,ostrich,noj,deste,strutionum,strauss,ສັດປ່າ,strutis,Strauss,struț,aotirisy,ngħam,शहामृग,ഒട്ടകപ്പക്ഷി,burung unta,ној,Tuhinga o mua,Тэмээн хяруул,উটপাখী,ငှက်ကုလားအုပ်,ostrich,nciniba,izintshe,अस्टीच,struts,ਸ਼ੁਤਰਮੁਰਗ,avestruz,غوښتي,nthiwatiwa,struts,ostrich,ној,lema,පැස්බරුන්,struto,pštros,noj,noj,ostrich,ostrich,ostrich,дандон,ఉష్ట్రపక్షి,தீக்கோழி,นกกระจอกเทศ,devekuşu,ostrich,آتشبازی,страус,tuyaqush,tuyaqush,יען,στρουθοκάμηλος,ostrich,سوڏيو,strucc,mhou,ջայլամ,ostrich,struzzo,ostrich,शुतुरमुर्ग,manuk onta,burung unta,ostrich,ostrich,đà điểu
otter,獭,獺,オッター,vidër,قندس,አተር,otter,dobharrach,sa oled,igaraba,выдра,видра,otter,wydra,otter,سرخ کن,otter,Odder,Otter,выдра,loutre,otter,saukko,otter,otter,ოტტერი,ઓટર,оттер,otè,수달,otter,Otter,Оттер,lontra,llúdria,vydra,ಓಟರ್,otter,vidra,otter,Luter,ūdrs,otter,ūdra,otter,Vidra,Otter,lontra,ओटर,otter,otter,видра,Tuhinga o mua,халиу,ভোঁদড়,ဖျံ,otter,otter,i-otter,otter,oter,ਆਟਰ,lontra,otter,otter,utter,otter,Видра,otter,විවරය,lutro,vydra,vidra,vidra,dòbhran,otter,uur,офтоб,ఓటర్,ஒட்டர்,นาก,su samuru,dyfrgi,otter,видра,otter,otter,לוּטרָה,βίδρα,otter,هوٽل,vidra,otter,ջուր,otter,lontra,otter,ऊद,otter,Berang-berang,Liyane,otter,con rái cá
owl,猫头鹰,貓頭鷹,フクロウ,buf,بومة,ጉጉት,bayquş,ulchabhán,öökull,hontza,пугач,бухал,ugla,sowa,sova,جغد,uil,ugle,Eule,сова,hibou,bahaw,pöllö,ûle,សត្វស្លាប,ბუ,ઘુવડ,жапалақ,chwèt,올빼미,kaji,uil,үкү,búho,búho,sova,ಗೂಬೆ,owl,sova,kûnd,ibis,pūce,owl,pelėdos,Eule,bufniţă,vorondolo,Kokka,घुबड,മൂങ്ങ,burung hantu,був,kohuru,шар шувуу,পেঁচা,ဇီးကွက်,plas,isikhomba,i-owl,उल्लू,ugle,ਉੱਲੂ,coruja,اوال,kadzidzi,Uggla,liki,сова,sefahleho,බකමූණෝ ය,strigo,sova,sova,sova,owl,bahaw,owl,шутур,గుడ్లగూబ,ஆந்தை,นกฮูก,baykuş,tylluanod,اللو,сова,boyo'g'li,boyo'g'li,יַנשׁוּף,κουκουβάγια,owl,اٽل,bagoly,owl,բու,ikwiikwii,gufo,סאָווע,उल्लू,bueuk,burung hantu,owl,owiwi,cú
panda,熊猫,熊貓,パンダ,panda,الباندا,ፓንዳ,panda,panda,panda,panda,панда,панда,Panda,panda,panda,پاندا,Panda,panda,Panda,панда,Panda,panda,panda,panda,ខ្លាឃ្មុំ,პანდა,પાન્ડા,панда,panda,팬더,panda,panda,панда,panda,panda,panda,ಪಾಂಡ,panda,panda,panda,Pandam,panda,panda,panda,Panda,urs panda,pandà,panda,पांडा,പാൻഡ,panda,панда,panda,панда,পান্ডা,ပန်ဒါ,panda,ipanda,panda,पाण्डा,panda,ਪਾਂਡਾ,panda,پانډا,panda,panda,panda,панда,panda,පැන්ඩා,panda,panda,panda,panda,panda,panda,Panda,Панда,పాండా,பாண்டா,หมีแพนด้า,panda,panda,پانڈا,панда,panda,panda,פנדה,αρκτοειδές ζώο της ασίας,panda,پانڈا,pandamackó,panda,պանդա,panda,panda,פּאַנדאַ,पांडा,panda,panda,panda,panda,gấu trúc
